"voterbase_id","score"
"MO-000000068923",0.286583
"MO-000000069528",0.9988576027
"MO-000000070730",0.9976743893
"MO-000000070854",0.9961660835
"MO-000000070973",0.992573483
"MO-000000070983",0.9981366459
"MO-000000071008",0.9926773077
"MO-000000071183",0.9985940733
"MO-000000071471",0.9983890951
"MO-000000071986",0.987640032
"MO-000000072149",0.971562255
"MO-000000072461",0.9978672727
"MO-000000072537",0.87060846
"MO-000000072945",0.99125548
"MO-000000072948",0.991703891
"MO-000000073033",0.86839989
"MO-000000073917",0.922595575
"MO-000000074032",0.995527023
"MO-000000074619",0.9977757805
"MO-000000074994",0.991911019
"MO-000000075750",0.99938214425
"MO-000000075896",0.991799902
"MO-000000076544",0.996742824
"MO-000000077475",0.9964632853
"MO-000000077775",0.9981160072
"MO-000000077978",0.9936962803
"MO-000000078192",0.975200733
"MO-000000078696",0.974068636
"MO-000000079280",0.999322533
"MO-000000079941",0.68781748
"MO-000000080181",0.99910489615
"MO-000000080269",0.967918098
"MO-000000080640",0.1336678
"MO-000000081804",0.01576155
"MO-000000081864",0.29641837
"MO-000000081973",0.62228557
"MO-000000082088",0.979412226
"MO-000000082140",0.2816882
"MO-000000083153",0.9980995377
"MO-000000083324",0.82812826
"MO-000000083722",0.991901847
"MO-000000083730",0.994449504
"MO-000000084043",0.9988657959
"MO-000000084701",0.42197126
"MO-000000085030",0.996066047
"MO-000000085118",0.71805942
"MO-000000085312",0.9975794766
"MO-000000085638",0.9987806807
"MO-000000085709",0.977235626
"MO-000000086291",0.9934356553
"MO-000000086660",0.92453389
"MO-000000086676",0.994066231
"MO-000000087261",0.973136902
"MO-000000087583",0.9957694933
"MO-000000087807",0.980101729
"MO-000000087821",0.9970813456
"MO-000000087839",0.88529482
"MO-000000087972",0.9970381695
"MO-000000088289",0.94780782
"MO-000000088902",0.9971870272
"MO-000000089650",0.988608977
"MO-000000089766",0.988889659
"MO-000000090748",0.998624631
"MO-000000090800",0.996072398
"MO-000000091686",0.996616571
"MO-000000091979",0.01821876
"MO-000000092576",0.985634835
"MO-000000093720",0.988945629
"MO-000000093810",0.9981363303
"MO-000000094124",0.988127925
"MO-000000094389",0.9990185869
"MO-000000094418",0.9992429422
"MO-000000094424",0.034984
"MO-000000094555",0.979305478
"MO-000000094788",0.71061754
"MO-000000095414",0.963612776
"MO-000000096742",0.9984235794
"MO-000000096931",0.9989212032
"MO-000000097152",0.78806393
"MO-000000097336",0.988118182
"MO-000000097656",0.4282595
"MO-000000097899",0.99890617
"MO-000000097941",0.984810195
"MO-000000098534",0.995716411
"MO-000000098732",0.9969955399
"MO-000000098843",0.91346239
"MO-000000099283",0.9935955266
"MO-000000099720",0.14584285
"MO-000000099927",0.9980127867
"MO-000000100292",0.89579126
"MO-000000100335",0.983977731
"MO-000000100641",0.9977023527
"MO-000000101018",0.97318856
"MO-000000102309",0.49209785
"MO-000000102589",0.99929255055
"MO-000000102809",0.925988995
"MO-000000103222",0.9944767365
"MO-000000103299",0.995669234
"MO-000000103442",0.9991448175
"MO-000000103478",0.979124775
"MO-000000103632",0.946892623
"MO-000000103685",0.981202865
"MO-000000103877",0.994927424
"MO-000000104329",0.9975058513
"MO-000000104336",0.9934278917
"MO-000000104347",0.950292926
"MO-000000104508",0.9963631856
"MO-000000104597",0.9953829674
"MO-000000104779",0.984693286
"MO-000000104822",0.1016337
"MO-000000105374",0.996585224
"MO-000000105837",0.9987217922
"MO-000000106360",0.9992812435
"MO-000000107347",0.942403067
"MO-000000107884",0.99927830754
"MO-000000107965",0.990601759
"MO-000000108156",0.981546117
"MO-000000108650",0.988773232
"MO-000000108809",0.99961331522
"MO-000000109238",0.997782607
"MO-000000110166",0.9997002885
"MO-000000110275",0.9997177238
"MO-000000110532",0.966155168
"MO-000000110565",0.99960112394
"MO-000000110599",0.992560696
"MO-000000110709",0.64959806
"MO-000000110712",0.9984089794
"MO-000000111204",0.81967424
"MO-000000111379",0.991330799
"MO-000000111801",0.9969647645
"MO-000000112380",0.9981375362
"MO-000000112931",0.992666795
"MO-000000112985",0.9980392298
"MO-000000112998",0.22941685
"MO-000000113067",0.9989923949
"MO-000000113107",0.97673992
"MO-000000113272",0.994361501
"MO-000000113303",0.952019967
"MO-000000113446",0.9993226173
"MO-000000115098",0.972985208
"MO-000000115461",0.84567742
"MO-000000115932",0.07830185
"MO-000000115935",0.6483609
"MO-000000118111",0.11811215
