"voterbase_id","score"
"MO-000000068223",0.79967141
"MO-000000068923",0.4772749
"MO-000000069528",0.989770761
"MO-000000070730",0.9979606976
"MO-000000070854",0.994116762
"MO-000000070973",0.985905866
"MO-000000070983",0.9962515554
"MO-000000071008",0.986492176
"MO-000000071183",0.9971704343
"MO-000000071471",0.9967585693
"MO-000000071986",0.949299984
"MO-000000072149",0.5616117
"MO-000000072461",0.990961319
"MO-000000072537",0.5595136
"MO-000000072945",0.904709004
"MO-000000072948",0.96552979
"MO-000000073033",0.969473617
"MO-000000073917",0.943004817
"MO-000000074032",0.949085474
"MO-000000074619",0.990576359
"MO-000000074994",0.96636825
"MO-000000075750",0.997368539
"MO-000000075896",0.9928042055
"MO-000000076544",0.9939707858
"MO-000000077475",0.985079079
"MO-000000077775",0.992009027
"MO-000000077978",0.973641055
"MO-000000078192",0.982010022
"MO-000000078696",0.92023509
"MO-000000079280",0.9971152127
"MO-000000079941",0.3265955
"MO-000000080181",0.9933381756
"MO-000000080269",0.83466452
"MO-000000080640",0.0711099
"MO-000000081804",0.0514674
"MO-000000081864",0.5728303
"MO-000000081973",0.80461742
"MO-000000082088",0.975437924
"MO-000000082140",0.3782096
"MO-000000083153",0.9986656302
"MO-000000083324",0.897610344
"MO-000000083722",0.990050678
"MO-000000083730",0.995995245
"MO-000000084043",0.9990055752
"MO-000000084701",0.5633931
"MO-000000085030",0.9939635806
"MO-000000085118",0.54012978
"MO-000000085312",0.98216068
"MO-000000085638",0.9957026425
"MO-000000085709",0.72621194
"MO-000000086291",0.987883243
"MO-000000086660",0.86842047
"MO-000000086676",0.990904735
"MO-000000087261",0.982014505
"MO-000000087583",0.982191974
"MO-000000087807",0.945803817
"MO-000000087821",0.990559181
"MO-000000087839",0.74805552
"MO-000000087972",0.990420449
"MO-000000088289",0.8533385
"MO-000000088902",0.97932014
"MO-000000089650",0.970092619
"MO-000000089766",0.92242125
"MO-000000090748",0.9974500164
"MO-000000090800",0.987324253
"MO-000000091686",0.99484813
"MO-000000091979",0.01892436
"MO-000000092576",0.9494098
"MO-000000093720",0.94864185
"MO-000000093810",0.9965461323
"MO-000000094124",0.978184571
"MO-000000094389",0.9981798119
"MO-000000094418",0.9985956459
"MO-000000094424",0.01748556
"MO-000000094555",0.981811978
"MO-000000094788",0.0834987
"MO-000000095414",0.93256195
"MO-000000096742",0.9933069083
"MO-000000096931",0.995412277
"MO-000000097152",0.41725355
"MO-000000097336",0.95118805
"MO-000000097656",0.53189465
"MO-000000097899",0.9979715117
"MO-000000097941",0.952181432
"MO-000000098534",0.98197161
"MO-000000098732",0.977939319
"MO-000000098843",0.92331929
"MO-000000099283",0.988176727
"MO-000000099720",0.1704401
"MO-000000099927",0.9982575075
"MO-000000100292",0.83135661
"MO-000000100335",0.83722943
"MO-000000100641",0.9957434367
"MO-000000101018",0.951348957
"MO-000000102309",0.82341626
"MO-000000102589",0.9986876136
"MO-000000102809",0.957919516
"MO-000000103222",0.989795868
"MO-000000103299",0.9933561124
"MO-000000103442",0.9963605755
"MO-000000103478",0.93979998
"MO-000000103632",0.90570864
"MO-000000103685",0.984156564
"MO-000000103877",0.990624906
"MO-000000104329",0.995380182
"MO-000000104336",0.994233972
"MO-000000104347",0.983874485
"MO-000000104508",0.993270231
"MO-000000104597",0.985122156
"MO-000000104779",0.971954938
"MO-000000104822",0.1243533
"MO-000000105374",0.993068577
"MO-000000105837",0.9978449654
"MO-000000106360",0.9974365628
"MO-000000107347",0.934383035
"MO-000000107884",0.996927338
"MO-000000107965",0.985584186
"MO-000000108156",0.9935767045
"MO-000000108650",0.989194964
"MO-000000108809",0.9983342658
"MO-000000109238",0.9954934875
"MO-000000110166",0.9989299305
"MO-000000110275",0.99942516617
"MO-000000110532",0.967398528
"MO-000000110565",0.9991878168
"MO-000000110599",0.83614735
"MO-000000110709",0.7180066
"MO-000000110712",0.9967643966
"MO-000000111204",0.90560856
"MO-000000111379",0.972314991
"MO-000000111801",0.9938365626
"MO-000000112380",0.9965483635
"MO-000000112931",0.995122585
"MO-000000112985",0.991685448
"MO-000000112998",0.2637567
"MO-000000113067",0.9981312762
"MO-000000113107",0.991877869
"MO-000000113272",0.975584624
"MO-000000113303",0.96014995
"MO-000000113446",0.9970848213
"MO-000000115098",0.964897364
"MO-000000115461",0.978841169
"MO-000000115932",0.32171863
"MO-000000115935",0.79557385
"MO-000000118111",0.348097
"MO-000000118264",0.75898488
"MO-000000118342",0.66392344
"MO-000000119035",0.947725724
"MO-000000119436",0.3185052
"MO-000000119511",0.980016336
"MO-000000120503",0.988400779
"MO-000000120672",0.9978133005
"MO-000000120824",0.988983422
"MO-000000121688",0.994934189
"MO-000000122150",0.76189719
"MO-000000122197",0.947964385
"MO-000000122330",0.987126462
"MO-000000122380",0.990857912
"MO-000000122546",0.94067751
"MO-000000123081",0.07766443
"MO-000000123476",0.4305432
"MO-000000123553",0.990273136
"MO-000000123624",0.9983072277
"MO-000000123677",0.991179024
"MO-000000124041",0.98373534
"MO-000000124470",0.9922750066
"MO-000000124488",0.9968371133
"MO-000000124556",0.986557562
"MO-000000125123",0.9980431711
"MO-000000125268",0.986142596
"MO-000000125524",0.994121429
"MO-000000125775",0.92373904
"MO-000000126021",0.3639898
"MO-000000126081",0.38683677
"MO-000000126492",0.990042195
"MO-000000126687",0.99393496
"MO-000000126952",0.985756908
"MO-000000127370",0.984580271
"MO-000000127726",0.9985591401
"MO-000000128002",0.994907696
"MO-000000128021",0.9973330812
"MO-000000128035",0.9986251772
"MO-000000128503",0.9923392455
"MO-000000128931",0.96405324
"MO-000000129181",0.993271245
"MO-000000129433",0.3335181
"MO-000000129684",0.995936282
"MO-000000129823",0.966060404
"MO-000000130095",0.8570234
"MO-000000130213",0.9984726473
"MO-000000130505",0.94301997
"MO-000000130824",0.956999253
"MO-000000130902",0.990554578
"MO-000000131232",0.88955293
"MO-000000131274",0.56103706
"MO-000000131979",0.986336758
"MO-000000131988",0.9974081062
"MO-000000132078",0.972576072
"MO-000000132524",0.975329645
"MO-000000132575",0.78756513
"MO-000000132654",0.0792599
"MO-000000133345",0.6964532
"MO-000000133650",0.988825721
"MO-000000134755",0.17205137
"MO-000000134935",0.80828635
"MO-000000135406",0.9964011214
"MO-000000135617",0.99097891
"MO-000000135855",0.941856135
"MO-000000136628",0.985033532
"MO-000000136805",0.94762795
"MO-000000137348",0.2861486
"MO-000000137357",0.9977321913
"MO-000000137425",0.46008825
"MO-000000137791",0.994639908
"MO-000000137995",0.83241273
"MO-000000138502",0.9983605859
"MO-000000138563",0.8633613
"MO-000000138964",0.9980431711
"MO-000000138986",0.957533803
"MO-000000139128",0.95542769
"MO-000000139587",0.97582226
"MO-000000139854",0.041951
"MO-000000139918",0.9982765792
"MO-000000140486",0.955150373
"MO-000000140592",0.99935828435
"MO-000000141541",0.90761906
"MO-000000142160",0.4438119
"MO-000000143233",0.92469062
"MO-000000143931",0.969155276
"MO-000000144025",0.9988773289
"MO-000000144199",0.95621846
"MO-000000144244",0.14540464
"MO-000000144992",0.981411645
"MO-000000145206",0.0345085
"MO-000000145522",0.968899269
"MO-000000145800",0.988140147
"MO-000000146052",0.0407831
"MO-000000146070",0.970610797
"MO-000000146148",0.993554896
"MO-000000146173",0.994805569
"MO-000000147041",0.9951240756
"MO-000000147370",0.86289996
"MO-000000147537",0.8608255
"MO-000000147823",0.98425364
"MO-000000147999",0.9979610129
"MO-000000148635",0.9978567099
"MO-000000148838",0.98309574
"MO-000000149147",0.925380036
"MO-000000149382",0.9982927903
"MO-000000149534",0.9957600725
"MO-000000149870",0.994116993
"MO-000000150638",0.956550945
"MO-000000150862",0.3552532
"MO-000000151627",0.92756845
"MO-000000151876",0.8729675
"MO-000000152465",0.8258409
"MO-000000152500",0.9983008588
"MO-000000153451",0.975706518
"MO-000000153456",0.61972722
"MO-000000153699",0.91954857
"MO-000000153958",0.035293
"MO-000000155038",0.9943822203
"MO-000000155329",0.75725335
"MO-000000155464",0.996950442
"MO-000000155538",0.9964686842
